anime_id,title,title_english,type,source,episodes,status,airing,aired_string,duration_min,rating,score,scored_by,rank,popularity,members,favorites,studio,genre,aired_from_year
11013,Inu x Boku SS,Inu X Boku Secret Service,TV,Manga,12,Finished Airing,FALSE,"Jan 13, 2012 to Mar 30, 2012",24,PG-13 - Teens 13 or older,7.63,139250,1274,231,283882,2809,David Production,"Comedy, Supernatural, Romance, Shounen",2012
2104,Seto no Hanayome,My Bride is a Mermaid,TV,Manga,26,Finished Airing,FALSE,"Apr 2, 2007 to Oct 1, 2007",24,PG-13 - Teens 13 or older,7.89,91206,727,366,204003,2579,Gonzo,"Comedy, Parody, Romance, School, Shounen",2007
5262,Shugo Chara!! Doki,Shugo Chara!! Doki,TV,Manga,51,Finished Airing,FALSE,"Oct 4, 2008 to Sep 25, 2009",24,PG - Children,7.55,37129,1508,1173,70127,802,Satelight,"Comedy, Magic, School, Shoujo",2008
721,Princess Tutu,Princess Tutu,TV,Original,38,Finished Airing,FALSE,"Aug 16, 2002 to May 23, 2003",16,PG-13 - Teens 13 or older,8.21,36501,307,916,93312,3344,Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy",2002
12365,Bakuman. 3rd Season,Bakuman.,TV,Manga,25,Finished Airing,FALSE,"Oct 6, 2012 to Mar 30, 2013",24,PG-13 - Teens 13 or older,8.67,107767,50,426,182765,2082,J.C.Staff,"Comedy, Drama, Romance, Shounen",2012
6586,Yume-iro Pâtissière,,TV,Manga,50,Finished Airing,FALSE,"Oct 4, 2009 to Sep 26, 2010",24,G - All Ages,8.03,21618,526,1630,45625,826,"Studio Pierrot, Studio Hibari","Kids, School, Shoujo",2009
178,Ultra Maniac,Ultramaniac - Magical Girl,TV,Manga,26,Finished Airing,FALSE,"May 20, 2003 to Nov 11, 2003",24,G - All Ages,7.26,9663,2594,2490,22778,122,Production Reed,"Magic, Comedy, Romance, School, Shoujo",2003
2787,Shakugan no Shana II (Second),Shakugan no Shana: Season II,TV,Light novel,24,Finished Airing,FALSE,"Oct 5, 2007 to Mar 28, 2008",24,PG-13 - Teens 13 or older,7.72,126085,1066,332,220591,1075,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural",2007
4477,Nodame Cantabile: Paris-hen,,TV,Manga,11,Finished Airing,FALSE,"Oct 10, 2008 to Dec 19, 2008",23,PG-13 - Teens 13 or older,8.24,53908,281,988,85660,282,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei",2008
853,Ouran Koukou Host Club,Ouran High School Host Club,TV,Manga,26,Finished Airing,FALSE,"Apr 5, 2006 to Sep 27, 2006",23,PG-13 - Teens 13 or older,8.34,335137,205,69,538843,24072,Bones,"Comedy, Harem, Romance, School, Shoujo",2006
